column,mean_diff,max_diff,std_diff,significant_count,total_count,significant_percentage
rdd1_dindx_65,2.459634015069968,254,78.64001955933327,929,1797,51.697273233166385
rdd1_dindx_177,0.16972972972972972,254,70.82908512699395,925,1797,51.47468002225932
rdd1_dindx_63,-3.4123376623376624,254,79.5636088701367,924,1797,51.41903171953256
rdd1_dindx_62,0.1912568306010929,254,75.64306121808025,915,1797,50.918196994991646
rdd1_dindx_61,-3.4257425742574257,253,81.21646799050932,909,1797,50.58430717863105
rdd1_dindx_178,-2.711453744493392,251,69.80807863263405,908,1797,50.528658875904284
rdd1_dindx_179,1.8394241417497232,250,64.49912407228041,903,1797,50.25041736227045
rdd1_dindx_180,-1.4789356984478936,253,71.96443057543681,902,1797,50.19476905954369
rdd1_dindx_60,1.8783482142857142,253,78.83279193820047,896,1797,49.860879243183085
rdd1_dindx_59,-5.317925591882751,254,83.61424513702418,887,1797,49.360044518642184
rdd1_dindx_181,2.767756482525366,253,73.25943581241174,887,1797,49.360044518642184
rdd1_dindx_182,1.3575482406356414,254,69.18801288040059,881,1797,49.02615470228158
rdd1_dindx_183,0.36662883087400683,252,65.0419979477473,881,1797,49.02615470228158
rdd1_dindx_58,2.6340909090909093,254,84.63155558919073,880,1797,48.970506399554814
rdd1_dindx_184,-2.521239954075775,254,72.01185765559039,871,1797,48.46967167501391
rdd1_dindx_56,0.25517241379310346,254,88.06623259695426,870,1797,48.41402337228715
rdd1_dindx_185,-0.5466052934407365,254,74.87898455088217,869,1797,48.35837506956038
rdd1_dindx_57,4.095512082853855,253,84.81726836694455,869,1797,48.35837506956038
rdd1_dindx_187,-4.75754060324826,248,74.06730436157294,862,1797,47.96883695047301
rdd1_dindx_186,-2.9651162790697674,254,75.73671464961173,860,1797,47.85754034501948
rdd1_dindx_188,-5.174882629107981,250,75.70343780752789,852,1797,47.412353923205345
rdd1_dindx_54,0.16314553990610328,254,90.14688276770687,852,1797,47.412353923205345
rdd1_dindx_55,-4.724178403755869,254,91.33541202908192,852,1797,47.412353923205345
rdd1_dindx_53,-0.39166666666666666,255,90.37871471432142,840,1797,46.744574290484145
rdd1_dindx_189,-0.8713942307692307,253,72.17262991351392,832,1797,46.29938786867
rdd1_dindx_52,2.7716346153846154,255,93.69792534862084,832,1797,46.29938786867
rdd1_dindx_190,-2.7970838396111786,254,72.62265455795459,823,1797,45.79855314412911
rdd1_dindx_51,-4.415140415140415,253,92.42790050371615,819,1797,45.57595993322204
rdd1_dindx_191,-2.962962962962963,254,73.62416143343438,810,1797,45.07512520868113
rdd1_dindx_50,-3.2676579925650557,254,93.53339453519177,807,1797,44.90818030050083
rdd1_dindx_192,-8.543859649122806,254,75.18030094556696,798,1797,44.40734557595994
rdd1_dindx_49,-6.394206549118388,254,100.44781101256902,794,1797,44.184752365052866
rdd1_dindx_48,2.506393861892583,254,102.64577599668931,782,1797,43.516972732331666
rdd1_dindx_193,-4.604353393085788,250,78.3333494127227,781,1797,43.4613244296049
rdd1_dindx_47,-3.6290115532734273,253,97.65549323303075,779,1797,43.35002782415137
rdd1_dindx_46,0.6915167095115681,253,98.15406783945453,778,1797,43.294379521424595
rdd1_dindx_194,-1.9974193548387096,251,79.70720609215762,775,1797,43.1274346132443
rdd1_dindx_45,2.28515625,254,102.3613808018585,768,1797,42.73789649415693
rdd1_dindx_195,-2.469361147327249,250,77.8262953151842,767,1797,42.68224819143016
rdd1_dindx_44,-8.699080157687254,255,101.96777523837878,761,1797,42.34835837506956
rdd1_dindx_43,-0.535006605019815,255,99.20706979807122,757,1797,42.125765164162495
rdd1_dindx_196,-1.6861702127659575,252,78.42873455871684,752,1797,41.84752365052866
rdd1_dindx_42,-4.175838926174497,254,100.45745010706933,745,1797,41.457985531441295
rdd1_dindx_197,-4.72027027027027,253,76.34632237683421,740,1797,41.17974401780746
rdd1_dindx_41,-1.3017591339648173,254,94.24872592192851,739,1797,41.124095715080685
rdd1_dindx_40,-3.0122783083219646,254,96.45727899192237,733,1797,40.79020589872009
rdd1_dindx_198,-3.495225102319236,254,80.20877629280966,733,1797,40.79020589872009
rdd1_dindx_39,-5.667582417582418,254,96.58152590895708,728,1797,40.51196438508626
rdd1_dindx_38,-0.8256624825662483,254,92.9488484860458,717,1797,39.89983305509182
rdd1_dindx_199,-0.8491620111731844,255,78.25693348811068,716,1797,39.84418475236505
rdd1_dindx_200,-1.6775568181818181,255,79.01261950953237,704,1797,39.17640511964385
rdd1_dindx_37,-4.632478632478633,254,96.60954088278692,702,1797,39.065108514190314
rdd1_dindx_36,3.951008645533141,253,92.32509231998253,694,1797,38.61992209237618
rdd1_dindx_35,-6.547687861271676,254,87.03196398318046,692,1797,38.50862548692265
rdd1_dindx_201,-3.1128798842257597,254,71.85079808723657,691,1797,38.45297718419588
rdd1_dindx_202,-3.751835535976505,254,77.38451259985143,681,1797,37.89649415692821
rdd1_dindx_34,-2.03397341211226,254,83.22051838562125,677,1797,37.67390094602114
rdd1_dindx_203,-0.7261904761904762,254,77.55174558080807,672,1797,37.39565943238731
rdd1_dindx_33,0.8995502248875562,255,86.14245262195486,667,1797,37.117417918753475
rdd1_dindx_204,-7.796686746987952,254,83.30335000198056,664,1797,36.95047301057318
rdd1_dindx_205,-8.634969325153374,252,83.195194405917,652,1797,36.28269337785198
rdd1_dindx_32,1.0153846153846153,254,83.45286874502966,650,1797,36.17139677239844
rdd1_dindx_31,3.031347962382445,254,80.35258678012944,638,1797,35.50361713967724
rdd1_dindx_206,-4.25705329153605,253,75.73994282595737,638,1797,35.50361713967724
rdd1_dindx_207,-4.334920634920635,255,80.41486014991389,630,1797,35.058430717863104
rdd1_dindx_30,-5.847512038523274,254,78.6146555474471,623,1797,34.668892598775734
rdd1_dindx_208,-4.389885807504078,254,75.62453205649255,613,1797,34.11240957150807
rdd1_dindx_29,2.458128078817734,252,76.24676021829748,609,1797,33.889816360601
rdd1_dindx_28,-0.04658901830282862,251,74.2637147398885,601,1797,33.44462993878687
rdd1_dindx_209,-8.06030150753769,252,74.89816457828272,597,1797,33.2220367278798
rdd1_dindx_210,-10.986463620981388,253,78.81068034362467,591,1797,32.8881469115192
rdd1_dindx_27,1.5643224699828473,252,71.69677594426177,583,1797,32.442960489705065
rdd1_dindx_211,-2.550600343053173,253,77.38112952347701,583,1797,32.442960489705065
rdd1_dindx_212,-5.479094076655052,253,78.771681370521,574,1797,31.942125765164164
rdd1_dindx_26,-0.3823008849557522,254,70.97966084106777,565,1797,31.44129104062326
rdd1_dindx_213,-8.085867620751342,253,80.68512395618569,559,1797,31.10740122426266
rdd1_dindx_214,-5.3502722323049,255,77.6614341999609,551,1797,30.662214802448524
rdd1_dindx_25,4.6297640653357535,249,70.9820977899315,551,1797,30.662214802448524
rdd1_dindx_215,-3.8946395563770797,254,77.07183909585163,541,1797,30.105731775180857
rdd1_dindx_24,-6.132710280373832,252,70.94072262318197,535,1797,29.771841958820254
rdd1_dindx_216,-13.132325141776938,253,80.62525904168554,529,1797,29.437952142459658
rdd1_dindx_23,-3.42911877394636,253,66.12057773194803,522,1797,29.04841402337229
rdd1_dindx_22,0.1102514506769826,254,66.7910033968125,517,1797,28.77017250973845
rdd1_dindx_217,-5.960861056751468,255,80.40254906851244,511,1797,28.43628269337785
rdd1_dindx_21,3.802371541501976,251,59.85437263249483,506,1797,28.15804117974402
rdd1_dindx_218,-6.566600397614314,255,79.44741460643937,503,1797,27.991096271563716
rdd1_dindx_219,-8.967280163599183,250,78.89867536531955,489,1797,27.212020033388985
rdd1_dindx_20,-4.6646090534979425,230,61.55612934743466,486,1797,27.04507512520868
rdd1_dindx_220,-7.539112050739957,255,87.68899885953451,473,1797,26.32164718976071
rdd1_dindx_19,4.084566596194503,238,58.855335910966566,473,1797,26.32164718976071
rdd1_dindx_18,0.6095444685466378,250,58.48966236050852,461,1797,25.65386755703951
rdd1_dindx_221,-7.49234135667396,254,82.10480870885463,457,1797,25.431274346132444
rdd1_dindx_17,3.597315436241611,252,62.64715145666466,447,1797,24.874791318864776
