(np.float64(0.0), np.float64(0.0))
 : 90(np.float64(91.0), np.float64(13.0))
 : 91(np.float64(92.0), np.float64(17.0))
 : 92(np.float64(94.0), np.float64(22.0))
 : 93(np.float64(94.0), np.float64(24.0))
 : 94(np.float64(95.0), np.float64(26.0))
 : 95(np.float64(96.0), np.float64(30.0))
 : 96(np.float64(97.0), np.float64(32.0))
 : 97(np.float64(98.0), np.float64(38.0))
 : 98(np.float64(101.0), np.float64(45.0))
 : 99(np.float64(102.0), np.float64(50.0))
 : 100(np.float64(105.0), np.float64(62.0))
 : 101(np.float64(108.0), np.float64(72.0))
 : 102(np.float64(120.0), np.float64(111.0))
 : 103(np.float64(123.0), np.float64(122.0))
 : 104(np.float64(132.0), np.float64(156.0))
 : 105(np.float64(133.0), np.float64(160.0))
 : 106(np.float64(134.0), np.float64(161.0))
 : 107(np.float64(137.0), np.float64(173.0))
 : 108(np.float64(138.0), np.float64(175.0))
 : 109(np.float64(141.0), np.float64(187.0))
 : 110(np.float64(148.0), np.float64(210.0))
 : 111(np.float64(148.0), np.float64(250.0))
 : 112(np.float64(154.0), np.float64(233.0))
 : 113(np.float64(156.0), np.float64(239.0))
 : 114(np.float64(158.0), np.float64(246.0))
 : 115(np.float64(159.0), np.float64(248.0))
 : 116(np.float64(160.0), np.float64(251.0))
 : 117(np.float64(160.0), np.float64(255.0))
 : 118(np.float64(167.0), np.float64(22.0))
 : 119(np.float64(173.0), np.float64(44.0))
 : 120(np.float64(174.0), np.float64(46.0))
 : 121(np.float64(174.0), np.float64(48.0))
 : 122(np.float64(175.0), np.float64(49.0))
 : 123(np.float64(178.0), np.float64(60.0))
 : 124(np.float64(187.0), np.float64(91.0))
 : 125(np.float64(188.0), np.float64(96.0))
 : 126(np.float64(189.0), np.float64(98.0))
 : 127(np.float64(189.0), np.float64(140.0))
 : 128(np.float64(190.0), np.float64(103.0))
 : 129(np.float64(191.0), np.float64(106.0))
 : 130(np.float64(192.0), np.float64(149.0))
 : 131(np.float64(193.0), np.float64(151.0))
 : 132(np.float64(194.0), np.float64(154.0))
 : 133(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(8.0), np.float64(7.0))
 : 6(np.float64(8.0), np.float64(228.0))
 : 7(np.float64(8.0), np.float64(230.0))
 : 8(np.float64(8.0), np.float64(233.0))
 : 9(np.float64(8.0), np.float64(248.0))
 : 10(np.float64(8.0), np.float64(253.0))
 : 11(np.float64(10.0), np.float64(226.0))
 : 12(np.float64(10.0), np.float64(230.0))
 : 13(np.float64(11.0), np.float64(232.0))
 : 14(np.float64(11.0), np.float64(235.0))
 : 15(np.float64(12.0), np.float64(234.0))
 : 16(np.float64(14.0), np.float64(211.0))
 : 17(np.float64(14.0), np.float64(221.0))
 : 18(np.float64(14.0), np.float64(242.0))
 : 19(np.float64(15.0), np.float64(217.0))
 : 20(np.float64(18.0), np.float64(182.0))
 : 21(np.float64(19.0), np.float64(170.0))
 : 22(np.float64(20.0), np.float64(183.0))
 : 23(np.float64(20.0), np.float64(189.0))
 : 24(np.float64(20.0), np.float64(192.0))
 : 25(np.float64(20.0), np.float64(197.0))
 : 26(np.float64(20.0), np.float64(199.0))
 : 27(np.float64(23.0), np.float64(166.0))
 : 28(np.float64(23.0), np.float64(168.0))
 : 29(np.float64(24.0), np.float64(146.0))
 : 30(np.float64(24.0), np.float64(216.0))
 : 31(np.float64(25.0), np.float64(145.0))
 : 32(np.float64(27.0), np.float64(142.0))
 : 33(np.float64(28.0), np.float64(135.0))
 : 34(np.float64(28.0), np.float64(140.0))
 : 35(np.float64(29.0), np.float64(132.0))
 : 36(np.float64(29.0), np.float64(138.0))
 : 37(np.float64(30.0), np.float64(136.0))
